     1	66277081
     2	50437514
     3	35018085
     4	61774372
     5	59413443
     6	68865540
     7	74232840
     8	58588880
     9	46583300
    10	51121610
    11	55110541
    12	58664569
    13	59243909
    14	56279214
    15	49270692
    16	60175851
    17	69552048
    18	65207052
    19	56019741
    20	58685308
    21	55886186
    22	235693798
    23	37728342
    24	35825933
    25	50926903
    26	65367839
    27	68120269
    28	87931694
    29	76483361
    30	57533579
    31	44164131
    32	58627381
    33	70677887
    34	58735333
    35	78955684
    36	70351606
    37	35983317
    38	37047458
    39	59180748
    40	53212068
    41	55198702
    42	50078525
    43	51857484
    44	38128088
    45	36930293
    46	50379311
    47	48492051
    48	46184275
    49	48291208
    50	51982068
    51	36376596
    52	29390816
    53	46346045
    54	62233398
    55	54316423
    56	51956328
    57	61589828
    58	40713584
    59	30485748
    60	65962154
    61	98439564
    62	394072247
    63	810571231
    64	856127207
    65	918185730
    66	868582140
    67	846447886
    68	553207669
    69	65148391
    70	70779694
    71	67949344
    72	36404431
    73	35379008
    74	69331935
    75	52751332
    76	52836703
    77	57858510
    78	46738401
    79	31639090
    80	42021741
    81	62706882
    82	67632900
    83	69964325
    84	56959177
    85	47989539
    86	29976659
    87	44399875
    88	51740819
    89	48614301
    90	46938581
    91	47645094
    92	46989624
    93	25031519
