     1	0
     2	0
     3	0
     4	0
     5	0
     6	0
     7	0
     8	0
     9	0
    10	0
    11	0
    12	1
    13	1
    14	1
    15	1
    16	1
    17	2
    18	2
    19	2
    20	2
    21	2
    22	3
    23	3
    24	3
    25	4
    26	4
    27	4
    28	4
    29	6
    30	6
    31	7
    32	10
    33	11
    34	11
    35	15
    36	15
    37	17
    38	22
    39	22
    40	27
    41	27
    42	29
    43	32
    44	37
    45	39
    46	41
    47	44
    48	45
    49	48
    50	55
    51	56
    52	61
    53	62
    54	67
    55	84
    56	92
    57	95
    58	132
    59	154
    60	160
    61	169
    62	176
    63	179
    64	184
    65	199
    66	199
    67	201
    68	208
    69	244
    70	315
    71	329
    72	351
    73	375
    74	446
    75	469
    76	523
    77	535
    78	687
    79	776
    80	1081
    81	1105
    82	1114
    83	1536
    84	1692
    85	2809
    86	2845
    87	3302
    88	3662
    89	3937
    90	4294
    91	4840
    92	6823
    93	8054
    94	9928
    95	10456
    96	10638
    97	10690
    98	10726
    99	11739
   100	15944
   101	22162
   102	22170
   103	22554
   104	29133
   105	30443
   106	32888
   107	47265
   108	61359
   109	62958
   110	148567
   111	152409
   112	187674
   113	187985
   114	210898
   115	374657
   116	497247
   117	620039
   118	687133
   119	793493
   120	864148
   121	1540002
   122	2338001
   123	2670274
   124	3012629
   125	3200067
   126	4031830
   127	5835179
   128	5835203
   129	7946870
   130	7988438
   131	7988852
