     1	0
     2	0
     3	0
     4	0
     5	0
     6	0
     7	0
     8	0
     9	0
    10	0
    11	0
    12	0
    13	0
    14	0
    15	0
    16	0
    17	0
    18	0
    19	0
    20	0
    21	0
    22	0
    23	0
    24	0
    25	0
    26	0
    27	0
    28	0
    29	0
    30	0
    31	0
    32	0
    33	0
    34	0
    35	0
    36	0
    37	0
    38	0
    39	0
    40	0
    41	0
    42	0
    43	0
    44	0
    45	0
    46	0
    47	0
    48	0
    49	0
    50	0
    51	0
    52	0
    53	0
    54	0
    55	1
    56	1
    57	1
    58	1
    59	1
    60	1
    61	2
    62	2
    63	2
    64	2
    65	3
    66	3
    67	3
    68	3
    69	4
    70	4
    71	6
    72	6
    73	7
    74	10
    75	11
    76	13
    77	15
    78	17
    79	22
    80	22
    81	26
    82	29
    83	37
    84	39
    85	41
    86	44
    87	45
    88	48
    89	55
    90	56
    91	62
    92	67
    93	84
    94	95
    95	132
    96	154
    97	160
    98	169
    99	176
   100	179
   101	184
   102	199
   103	199
   104	201
   105	208
   106	244
   107	259
   108	315
   109	329
   110	375
   111	446
   112	469
   113	523
   114	535
   115	687
   116	776
   117	1081
   118	1105
   119	1114
   120	1536
   121	1692
   122	2809
   123	2845
   124	3302
   125	3662
   126	3937
   127	4294
   128	4840
   129	6823
   130	8054
   131	9928
   132	10456
   133	10638
   134	10690
   135	10726
   136	11739
   137	15944
   138	22162
   139	22170
   140	22554
   141	29133
   142	30443
   143	32888
   144	47265
   145	61359
   146	62958
   147	148567
   148	152409
   149	187674
   150	187985
   151	210898
   152	374657
   153	497247
   154	620039
   155	687133
   156	793493
   157	864180
   158	1540002
   159	2338352
   160	2670274
   161	3012629
   162	3025348
   163	3200067
   164	4031830
   165	5835179
   166	5835203
   167	7946870
   168	7988438
   169	7988852
